car_name,base_price,total_price,model_year,distance,inspection_remaining_month,repair,recycle,one_owner,record_book,new_car,no_smoke,registered,legally_imported,demo_car,rental_car,eco_car,legal_maintenance,camping,welfare,point,body_type,drive_type,color,right_handle,transmission,displacement,member,engine_type_gasoline,door_number,power_steering,abs,safety_support,auto_brake,adaptive_cruise,lane_keep,park_assist,accelerator_safe,obstacle_sensor,air_bag,air_bag_運転席,air_bag_助手席,air_bag_サイド,air_bag_カーテン,neck_rest,360_camera,camera,camera_フロント,camera_サイド,camera_バック,monitor,monitor_ブラインドスポット,monitor_リアトラフィック,esp,hill_descent,idle_stop,anti_theft,auto_high_beam,turbo,ac_cool,double_ac,navi,tv,vid_player,vid_player_DVD,vid_player_ブルーレイ,audio_player,audio_player_CD,audio_player_MD,audio_player_ミュージックサーバー,music_player_plugin,etc,air_sus,1500w,drive_rec,disp_audio,cold_region,keyless,smart_key,power_window,backseat_monitor,bench_seat,3rd_row,walk_through,power_seat,seat_ac,seat_heater,fullflat_seat,ottoman,leather_seat,halogen_headlight,headlight_type,front_fog,sunroof,roof_rail,full_aero,alumi_wheel,low_down,lift_up,slide_door,all_paint,Prefecture,City,guarantee_exists,guarantee_type,url
318i Mスポーツ　18AW全方位カメラLEDヘッド禁煙デモカー （アルピンホワイト）,3830000,4100000,2022,15000,12.0,0,リ済別,1,1,0,1,0,1,1,0,0,1,0,0,5.0,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,0,,0,0,,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,1,1,0,0,0,0,岐阜県,,1,1.0,https://www.carsensor.net/usedcar/detail/AU2782094211/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i　弊社下取車黒革HKスピーカー全周囲カメラ （メルボルンレッド）,3170000,3387000,2020,9000,24.0,0,リ済別,1,1,0,0,0,1,0,0,0,1,0,0,4.5,セダン,2WD,赤,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,0,1,1,0,1,,1,1,1,1,0,1,,1,0,1,,1,0,1,0,1,1,1,1,1,1,1,1,,0,0,,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED、アダプティブ,1,0,0,0,1,0,0,0,0,大阪府,大阪北部,1,1.0,https://www.carsensor.net/usedcar/detail/AU3198359562/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i スポーツ　後期 ACC 衝突回避軽減ブレーキ Bカメラ （インペリアルブルー）,1170000,1371000,2016,35000,0.0,0,リ済別,0,0,0,0,0,1,0,0,0,0,0,0,4.0,セダン,2WD,青,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,0,0,0,0,1,0,0,0,0,神奈川県,,1,0.0,https://www.carsensor.net/usedcar/detail/AU3174547381/index.html?TRCD=200002&RESTID=CS210610
320d　後期型　ACC　自動追従　インテリジェントS （サファイアブラック）,1070000,1266000,2016,54000,19.0,0,リ済別,0,1,0,0,0,1,0,0,0,0,0,0,4.5,セダン,2WD,黒,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,0,1,0,0,0,0,神奈川県,,1,0.0,https://www.carsensor.net/usedcar/detail/AU3256030224/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320i　後期型禁煙社外フルセグアクティブクルコン （ブラック）,1180000,1280000,2015,40000,24.0,0,リ済別,0,0,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,黒,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,0,1,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,1,1,1,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,0,1,0,0,0,0,福岡県,北九州,1,0.0,https://www.carsensor.net/usedcar/detail/AU0904544182/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
318i Mスポーツ　18AW黒革ハイラインPアシスト+禁煙認定車 （ミネラルグレー）,3280000,3500000,2021,11000,11.0,0,リ済別,0,1,0,1,0,1,0,0,0,1,0,0,4.5,セダン,2WD,灰Ｍ,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,,1,1,1,0,1,1,1,1,1,0,1,0,,0,0,,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED、アダプティブ,0,0,0,1,1,0,0,0,0,岐阜県,,1,1.0,https://www.carsensor.net/usedcar/detail/AU3447804301/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i　6か月保証 ディーラー記録簿8枚HDDナビ （インペリアルブルー）,730000,994000,2012,23000,0.0,0,リ済別,0,1,0,0,0,1,0,0,0,1,0,0,4.0,セダン,2WD,青,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,0,0,0,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,ディスチャージド,1,0,0,0,1,0,0,0,0,神奈川県,,1,0.0,https://www.carsensor.net/usedcar/detail/VU8246971155/index.html?TRCD=200002&RESTID=CS210610
320d xドライブ ディーゼルターボ 4WD　コンフォートPKG・プラスPKG・禁煙車 （アルピンホワイト）,3580000,3820000,2022,7000,19.0,0,リ済別,1,0,0,1,0,1,0,0,0,1,0,0,5.0,セダン,4WD,白,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,,1,1,1,,1,1,1,0,1,1,1,1,1,0,1,1,,0,0,,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,LED、アダプティブ,0,0,0,0,1,0,0,0,0,福岡県,福岡,1,0.0,https://www.carsensor.net/usedcar/detail/AU3412856803/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320i ラグジュアリー　後期型　1オナ　ACC　自動追従　ドラレコ （グレイシャーシルバー）,1270000,1464000,2016,21000,2.0,0,リ済別,1,0,0,0,0,1,0,0,0,0,0,0,4.0,セダン,2WD,銀,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED,1,0,0,0,1,0,0,0,0,神奈川県,,1,0.0,https://www.carsensor.net/usedcar/detail/AU2824985603/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
330e Mスポーツ　弊社元デモカ-ハイラインPKG黒革Pアシスト+ （ブラックサファイア）,4080000,4224000,2022,12000,20.0,0,リ済別,1,1,0,0,0,1,1,0,0,1,0,0,5.0,セダン,2WD,黒,1.0,フロアMTモード付8AT,2000,5,2,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,1,,1,0,1,,1,0,1,0,0,1,1,1,1,0,1,0,,0,0,,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED、アダプティブ,1,0,0,1,1,0,0,0,0,兵庫県,神戸,1,1.0,https://www.carsensor.net/usedcar/detail/AU2921282252/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i スポーツ　後期 ACC 衝突回避軽減ブレーキ HDDナビ （アルピンホワイト）,1570000,1790000,2018,16000,0.0,0,リ済別,0,0,0,0,0,1,0,0,0,0,0,0,4.5,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,0,0,0,0,1,0,0,0,0,神奈川県,,1,0.0,https://www.carsensor.net/usedcar/detail/AU3074808251/index.html?TRCD=200002&RESTID=CS210610
320d スポーツ　純正前後ドラレコ　スマートキー　純正ナビ （ブラック）,948000,1048000,2014,59000,24.0,0,リ済込,0,0,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,黒,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,0,0,1,0,0,0,1,,1,1,1,0,0,0,,0,0,1,,0,0,1,0,0,1,0,1,1,0,1,0,,1,0,,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,ディスチャージド,1,0,0,0,1,0,0,0,0,静岡県,静岡西部,1,0.0,https://www.carsensor.net/usedcar/detail/AU3175182617/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320d Mスポーツ　18AW社外DTV後期8Cエンジン禁煙1オナ認定車 （アルピン・ホワイト）,1990000,2160000,2018,48000,24.0,0,リ済別,1,1,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,0,1,1,0,0,0,1,,1,1,1,1,0,0,,0,0,0,,0,1,1,0,1,1,0,1,1,0,1,1,,1,0,,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,1,1,0,0,0,0,岐阜県,,1,1.0,https://www.carsensor.net/usedcar/detail/AU1981149068/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320d xドライブ ディーゼルターボ 4WD　1オーナーベージュ革プラスPKG　ACC （メルボルンレッド）,3080000,3221000,2020,18000,24.0,0,リ済別,1,1,0,0,0,1,0,0,0,1,0,0,4.5,セダン,4WD,赤,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,0,,0,0,1,,1,0,1,0,1,1,0,1,1,1,1,0,,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED,1,0,0,0,1,0,0,0,0,大阪府,大阪市内,1,1.0,https://www.carsensor.net/usedcar/detail/AU1502736376/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320d xドライブ Mスポーツ ディーゼルターボ 4WD　黒革シート・harman/kardon・TV・19インチ （ミネラルホワイト）,5450000,5650000,2022,1000,27.0,0,リ済別,0,1,0,0,0,1,0,0,0,1,0,0,5.0,セダン,4WD,真珠,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,0,1,1,1,1,1,1,,1,1,1,1,0,0,,0,0,1,,1,0,1,0,1,1,1,1,1,0,1,1,,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,LED、アダプティブ,0,0,0,0,1,0,0,0,0,大阪府,大阪市内,1,1.0,https://www.carsensor.net/usedcar/detail/AU3193855866/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
318i　BPS1年保証 LED 外地デジ付ナビ Dアシスト （メディテラニアンブルー）,1480000,1730000,2018,35000,24.0,0,リ済別,1,1,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,青,1.0,フロアMTモード付8AT,1500,5,1,4,1,1,0,1,1,0,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,0,1,0,0,0,0,埼玉県,,1,1.0,https://www.carsensor.net/usedcar/detail/AU2694055183/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i Mスポーツ　ナビBカメACC黒革18AW禁煙ワンオナ （アルピンホワイト）,3800000,3997000,2021,9000,14.0,0,リ済別,1,1,0,1,0,1,0,0,0,1,0,0,5.0,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,0,,1,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,0,0,,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED、アダプティブ,1,0,0,0,1,0,0,0,0,愛知県,名古屋・知多,1,1.0,https://www.carsensor.net/usedcar/detail/AU3402373443/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320i スポーツ　18AWベージュ革ACCHUDドラレコ1オナ認定車 （メディテラニアンブルー）,1450000,1647000,2015,39000,15.0,0,リ済別,1,1,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,紺Ｍ,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,1,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED,1,0,0,0,1,0,0,0,0,愛知県,名古屋・知多,1,1.0,https://www.carsensor.net/usedcar/detail/AU2345994805/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320d xドライブ Mスポーツ ディーゼルターボ 4WD　ブラックヴァーネスカレザーシート （アルピンホワイト3）,5550000,5736000,2023,2000,29.0,0,リ済別,1,1,0,1,0,1,1,0,0,1,0,0,6.0,セダン,4WD,白,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,,0,0,1,,1,1,1,0,1,1,1,1,1,0,1,0,,0,0,,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED、アダプティブ,0,0,0,0,1,0,0,0,0,東京都,多摩,1,1.0,https://www.carsensor.net/usedcar/detail/AU3155807746/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i　後期型 純正ナビ ETC Bカメラ スマ （ホワイト）,1098000,1188000,2016,43000,24.0,0,リ済別,0,1,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,0,1,1,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,0,1,0,0,0,0,京都府,,1,0.0,https://www.carsensor.net/usedcar/detail/AU1550600497/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320i スポーツ　ナビBカメACC社外ドラレコ禁煙1オーナ （アルピンホワイト）,1580000,1774000,2016,25000,3.0,0,リ済別,1,1,0,1,0,1,0,0,0,1,0,0,4.5,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,0,1,0,0,0,0,愛知県,名古屋・知多,1,1.0,https://www.carsensor.net/usedcar/detail/AU3124318999/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320i　1年保証 1オーナーACCハンズオフアシスト （ブラックサファイア）,2740000,3038000,2019,19000,0.0,0,リ済別,1,1,0,0,0,1,0,0,0,1,0,0,4.5,セダン,2WD,黒,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,1,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,1,0,0,0,1,0,0,0,0,神奈川県,,1,0.0,https://www.carsensor.net/usedcar/detail/AU0711831593/index.html?TRCD=200002&RESTID=CS210610
330e ラグジュアリー　全国認定保付白レザーACCHUD純正HDDナビLED （インペリアルブルー）,1950000,2145000,2016,27000,1.0,0,リ済別,0,0,0,0,0,1,0,0,0,1,0,0,4.5,セダン,2WD,青,1.0,フロアMTモード付8AT,2000,5,2,4,1,1,0,1,1,0,0,0,1,,1,1,1,1,0,1,,0,1,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED,1,0,0,0,1,0,0,0,0,兵庫県,神戸,1,1.0,https://www.carsensor.net/usedcar/detail/AU2274214439/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i　後期 ACC 衝突回避軽減ブレーキ Bカメラ （ミネラルグレー）,1190000,1394000,2016,25000,24.0,0,リ済別,0,0,0,0,0,1,0,0,0,1,0,0,4.0,セダン,2WD,灰,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,LED,0,0,0,0,1,0,0,0,0,神奈川県,,1,0.0,https://www.carsensor.net/usedcar/detail/AU2895126476/index.html?TRCD=200002&RESTID=CS210610
320i　1年保証付純正ナビバックカメラPDCセンサー （グレンシャーシルバー）,880000,1092000,2012,51000,24.0,0,リ済別,0,1,0,0,0,1,0,0,0,1,0,0,4.0,セダン,2WD,銀,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,0,0,0,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,1,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,ディスチャージド,1,0,0,0,1,0,0,0,0,兵庫県,兵庫東部,1,1.0,https://www.carsensor.net/usedcar/detail/AU3323443994/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
320i スポーツ　禁煙HDDナビCDDVDMsBtM付PシートBカメラ （アルピンホワイト3）,980000,1126000,2013,38000,6.0,0,リ済別,0,0,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,0,0,0,1,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,1,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,ディスチャージド,1,0,0,0,1,0,0,0,0,福岡県,北九州,1,0.0,https://www.carsensor.net/usedcar/detail/AU2703773716/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
